Layer,AUROC,Recall@1%FPR,Recall@5%FPR
0,0.3864052863436124,0.008,0.026
1,0.420352422907489,0.008,0.026
2,0.4879559471365639,0.008,0.06
3,0.36361674008810574,0.004,0.018
4,0.37285022026431713,0.008,0.03
5,0.44374449339207045,0.0,0.006
6,0.4690660792951542,0.0,0.008
7,0.45420264317180614,0.0,0.002
8,0.4091762114537445,0.0,0.002
9,0.3770308370044053,0.0,0.0
10,0.4012643171806167,0.0,0.002
11,0.3673259911894273,0.0,0.0
12,0.39360792951541845,0.0,0.0
13,0.41954185022026436,0.0,0.002
14,0.4101982378854626,0.0,0.004
15,0.3897136563876652,0.0,0.006
16,0.39443612334801764,0.0,0.008
17,0.34029074889867844,0.0,0.0
18,0.42129515418502206,0.0,0.004
19,0.4837797356828194,0.002,0.038
20,0.4678810572687224,0.002,0.026
21,0.4807356828193833,0.002,0.034
22,0.40906607929515415,0.0,0.008
23,0.35659030837004413,0.0,0.026
